step,time_s,file,mean_speed_mm_per_s,max_speed_mm_per_s,p95_speed_mm_per_s,relative_L2_one_step_percent,max_difference_one_step_mm_per_s,relative_L2_lag_percent,max_difference_lag_mm_per_s,section_point_count,section_mean_speed_mm_per_s,section_max_speed_mm_per_s,section_relative_L2_one_step_percent,section_relative_L2_lag_percent,section_max_difference_lag_mm_per_s
11,1.375,solution_000011.vtu,3.4031291131235593,17.05968882604189,12.216541739810104,2.299118332931859,0.7569480003787227,24.433264560738134,5.853463818231466,494,2.539150785777686,8.091382996322043,4.9255991572936475,31.908959759109262,2.6573032458839445
12,1.5,solution_000012.vtu,3.4021231326372683,17.35713970924748,12.306152849827296,2.168753242261251,0.7381988150345931,21.458609577582354,5.792273473719042,494,2.525307714306134,8.453185932286456,5.15753020964272,32.39620521246649,2.854500645791157
13,1.625,solution_000013.vtu,3.4029787823152273,17.595734249710297,12.437083741507148,2.0356319983042073,0.7062500599963231,19.4852461798116,5.702624900643753,494,2.5133000405714285,8.974498005594898,5.250071802225209,33.60910454717367,3.1090576057090584
14,1.75,solution_000014.vtu,3.404874415133484,17.78118197221063,12.500763881000042,1.8934060103418817,0.6838592520633642,18.014760845155198,5.457130787308914,494,2.5026946383007154,9.495003658975737,5.1868119417064396,34.92289740519074,3.363463159689892
15,1.875,solution_000015.vtu,3.407170389275279,17.920758028961107,12.546133370586015,1.7422735361595394,0.6474203070438455,16.80335481399933,5.349921620493817,494,2.492797563013009,9.983332430076008,4.974004446709495,35.94547258353464,3.5675384788208855
16,2.0,solution_000016.vtu,3.409401205534787,18.02244848151344,12.580972527118291,1.587476452228501,0.5863189813554175,15.714214491340297,5.1648538009091824,494,2.482779868222578,10.411331595588933,4.636039729086043,36.43619775262997,3.678666320255624
17,2.125,solution_000017.vtu,3.4112697194673403,18.094150549592246,12.62709825183155,1.43640726938963,0.5027823566280949,14.668254256463163,4.924634296545366,494,2.4718510124592994,10.759799219257465,4.2093044553182475,36.26982325513819,3.7421971465028165
18,2.25,solution_000018.vtu,3.4126311414948125,18.143059693111795,12.67431195469296,1.2957301311613536,0.498303488885307,13.62556656148953,4.6823260451782245,494,2.459408263826288,11.020981802276783,3.7351990086617675,35.41157756698953,3.764045734697603
19,2.375,solution_000019.vtu,3.4134494210539406,18.175301458709992,12.689328701439205,1.169618063498665,0.4865889459483925,12.576145220502438,4.421556911946285,494,2.4451184651367566,11.197612795834967,3.25337204872776,33.89692521644294,3.727563295496189
20,2.5,solution_000020.vtu,3.4137675801962764,18.195795297556515,12.786317988926903,1.0593909062306526,0.45787543593040986,11.532024739745124,4.013084358192842,494,2.428925417672674,11.299776511448384,2.796470604978794,31.8149489825798,3.559938927306642
21,2.625,solution_000021.vtu,3.4136703783968807,18.20829471633294,12.838058639319318,0.9641537982749072,0.42722867122003905,10.518254629874045,3.6034859022393766,494,2.4110021294067816,11.34125720476227,2.3872380410515346,29.29448814634068,3.2732864070564403
22,2.75,solution_000022.vtu,3.413252797020095,18.215535166478904,12.901104894374269,0.8817929042895942,0.4071080368504379,9.56305011113577,3.598151273824888,494,2.3916761665686503,11.336530302455996,2.0379389318425383,26.491124274727046,2.8919492399088327
23,2.875,solution_000023.vtu,3.412610583299845,18.219428694172738,12.949104118033086,0.8098340342301517,0.3855865858994501,8.68913949401249,3.4898160815432346,494,2.371352608451879,11.29882851105753,1.7515111225853761,23.57274097170435,2.4584618772599223
24,3.0,solution_000024.vtu,3.4118294679747057,18.221261420229503,12.990525431501716,0.7459706518032937,0.3592789992870854,7.9085323282880395,3.28937619494274,494,2.3504498779778578,11.239203982799147,1.5237553722969621,20.702670674503622,1.9974808349283493
25,3.125,solution_000025.vtu,3.41097907322633,18.22186807303669,13.037762683368465,0.6882980095536048,0.33590728286542165,7.221673723571337,3.0814592996533063,494,2.3293546157010954,11.20382873154579,1.3460136071757434,18.02196310745818,1.8338114157989693
26,3.25,solution_000026.vtu,3.4101114350036448,18.221772554066387,13.06164522328335,0.6353725080158295,0.32103753064041396,6.6201174683571224,2.948723968562039,494,2.308395436514677,11.167550443197097,1.2078469598615762,15.634321867944681,1.6641016372769346
27,3.375,solution_000027.vtu,3.409262068640216,18.221293419781016,13.099516683692224,0.5861939468931111,0.3005910754805356,6.09070020848785,2.7939580946780787,494,2.287832154638253,11.119184558093025,1.0992077162703648,13.597344507882061,1.5121280855621986
